SEED :  1
INIT_TIME :  0
FIN_TIME :  20000
ARRIVE_MIN :  10
ARRIVE_MAX :  20
QUIT_PROB :  20
CPU_MIN :  10
CPU_MAX :  20
DISK1_MIN :  40
DISK1_MAX :  60
DISK2_MIN :  50
DISK2_MAX :  70
0     Job 1    arrives
13    Job 2    arrives
16    Job 1    finishes at CPU
28    Job 2    finishes at CPU
30    Job 3    arrives
40    Job 3    finishes at CPU
47    Job 4    arrives
57    Job 4    finishes at CPU
63    Job 5    arrives
72    Job 1    finishes at Disk 2
74    Job 5    finishes at CPU
79    Job 6    arrives
83    Job 3    finishes at Disk 1
84    Job 1    finishes at CPU
91    Job 7    arrives
96    Job 6    finishes at CPU
107   Job 3    finishes at CPU
109   Job 8    arrives
120   Job 7    finishes at CPU
120   Job 9    arrives
129   Job 2    finishes at Disk 2
134   Job 8    finishes at CPU
135   Job 10   arrives
138   Job 4    finishes at Disk 1
147   Job 9    finishes at CPU
147   Job 11   arrives
147   Job 9    finishes
161   Job 12   arrives
162   Job 2    finishes at CPU
177   Job 13   arrives
179   Job 1    finishes at Disk 1
179   Job 10   finishes at CPU
179   Job 10   finishes
185   Job 5    finishes at Disk 2
191   Job 14   arrives
196   Job 4    finishes at CPU
204   Job 15   arrives
212   Job 11   finishes at CPU
222   Job 16   arrives
224   Job 6    finishes at Disk 1
226   Job 12   finishes at CPU
238   Job 13   finishes at CPU
239   Job 3    finishes at Disk 2
241   Job 17   arrives
251   Job 18   arrives
252   Job 1    finishes at CPU
252   Job 1    finishes
269   Job 19   arrives
269   Job 5    finishes at CPU
280   Job 8    finishes at Disk 1
281   Job 20   arrives
285   Job 14   finishes at CPU
297   Job 21   arrives
299   Job 15   finishes at CPU
304   Job 7    finishes at Disk 2
316   Job 22   arrives
316   Job 16   finishes at CPU
320   Job 4    finishes at Disk 1
331   Job 23   arrives
333   Job 6    finishes at CPU
346   Job 24   arrives
351   Job 3    finishes at CPU
355   Job 2    finishes at Disk 2
357   Job 25   arrives
366   Job 12   finishes at Disk 1
370   Job 17   finishes at CPU
375   Job 26   arrives
385   Job 18   finishes at CPU
391   Job 27   arrives
404   Job 19   finishes at CPU
409   Job 28   arrives
413   Job 11   finishes at Disk 2
415   Job 13   finishes at Disk 1
417   Job 8    finishes at CPU
419   Job 29   arrives
428   Job 20   finishes at CPU
436   Job 30   arrives
439   Job 21   finishes at CPU
453   Job 31   arrives
453   Job 7    finishes at CPU
462   Job 14   finishes at Disk 1
464   Job 32   arrives
467   Job 5    finishes at Disk 2
468   Job 22   finishes at CPU
482   Job 33   arrives
482   Job 4    finishes at CPU
482   Job 4    finishes
495   Job 34   arrives
500   Job 23   finishes at CPU
500   Job 23   finishes
511   Job 35   arrives
518   Job 24   finishes at CPU
520   Job 16   finishes at Disk 1
525   Job 15   finishes at Disk 2
529   Job 36   arrives
534   Job 2    finishes at CPU
539   Job 37   arrives
548   Job 25   finishes at CPU
549   Job 38   arrives
561   Job 39   arrives
563   Job 3    finishes at Disk 1
567   Job 12   finishes at CPU
567   Job 12   finishes
575   Job 40   arrives
578   Job 6    finishes at Disk 2
585   Job 26   finishes at CPU
586   Job 41   arrives
596   Job 42   arrives
603   Job 27   finishes at CPU
603   Job 27   finishes
607   Job 43   arrives
614   Job 28   finishes at CPU
618   Job 18   finishes at Disk 1
618   Job 44   arrives
630   Job 11   finishes at CPU
630   Job 45   arrives
630   Job 11   finishes
642   Job 46   arrives
646   Job 13   finishes at CPU
647   Job 17   finishes at Disk 2
656   Job 47   arrives
656   Job 29   finishes at CPU
664   Job 8    finishes at Disk 1
669   Job 30   finishes at CPU
675   Job 48   arrives
679   Job 31   finishes at CPU
688   Job 49   arrives
695   Job 14   finishes at CPU
695   Job 14   finishes
705   Job 21   finishes at Disk 1
707   Job 50   arrives
709   Job 19   finishes at Disk 2
713   Job 32   finishes at CPU
723   Job 51   arrives
725   Job 5    finishes at CPU
739   Job 52   arrives
744   Job 33   finishes at CPU
744   Job 33   finishes
757   Job 53   arrives
759   Job 20   finishes at Disk 2
760   Job 22   finishes at Disk 1
762   Job 34   finishes at CPU
769   Job 54   arrives
775   Job 35   finishes at CPU
781   Job 55   arrives
792   Job 56   arrives
794   Job 16   finishes at CPU
802   Job 2    finishes at Disk 1
811   Job 57   arrives
812   Job 15   finishes at CPU
825   Job 7    finishes at Disk 2
825   Job 58   arrives
831   Job 36   finishes at CPU
835   Job 59   arrives
841   Job 37   finishes at CPU
850   Job 60   arrives
851   Job 38   finishes at CPU
851   Job 38   finishes
852   Job 25   finishes at Disk 1
862   Job 61   arrives
869   Job 39   finishes at CPU
872   Job 62   arrives
876   Job 24   finishes at Disk 2
884   Job 63   arrives
885   Job 3    finishes at CPU
895   Job 40   finishes at CPU
896   Job 13   finishes at Disk 1
903   Job 64   arrives
914   Job 6    finishes at CPU
918   Job 65   arrives
925   Job 41   finishes at CPU
930   Job 26   finishes at Disk 2
932   Job 66   arrives
937   Job 42   finishes at CPU
946   Job 67   arrives
949   Job 29   finishes at Disk 1
955   Job 43   finishes at CPU
965   Job 68   arrives
973   Job 18   finishes at CPU
973   Job 18   finishes
978   Job 69   arrives
986   Job 28   finishes at Disk 2
986   Job 44   finishes at CPU
991   Job 70   arrives
1004  Job 45   finishes at CPU
1007  Job 31   finishes at Disk 1
1010  Job 71   arrives
1023  Job 46   finishes at CPU
1023  Job 72   arrives
1038  Job 73   arrives
1039  Job 17   finishes at CPU
1050  Job 30   finishes at Disk 2
1050  Job 32   finishes at Disk 1
1054  Job 74   arrives
1058  Job 47   finishes at CPU
1064  Job 75   arrives
1076  Job 8    finishes at CPU
1080  Job 76   arrives
1091  Job 35   finishes at Disk 1
1093  Job 77   arrives
1095  Job 48   finishes at CPU
1100  Job 5    finishes at Disk 2
1106  Job 78   arrives
1113  Job 49   finishes at CPU
1121  Job 79   arrives
1128  Job 21   finishes at CPU
